move_id,udl_consideration_id,barrier_addressed,practical_adaptation,construct_preserved,source_id,provenance_class,verification_status
move_peer_critique,udl_collab,"La colaboración abierta puede excluir a quienes necesitan estructura, tiempo o roles claros.","Usar roles simples, turnos de contribución y productos que requieran aportes interdependientes.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_peer_critique,udl_feedback,Feedback evaluativo o tardío puede no orientar el siguiente paso.,Dar retroalimentación específica sobre el criterio/evidencia y un próximo movimiento accionable.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_peer_critique,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_design_challenge,udl_relevance,Una tarea descontextualizada puede reducir sentido y compromiso.,"Conectar con abejas, flores del entorno y decisiones que podrían ocurrir en la escuela/comunidad.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_design_challenge,udl_choice,Una única ruta de participación puede reducir agencia o bloquear fortalezas no relevantes al objetivo.,"Ofrecer 2–3 opciones auténticas de fenómeno, representación o material cuando todas preservan la misma meta.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_design_challenge,udl_collab,"La colaboración abierta puede excluir a quienes necesitan estructura, tiempo o roles claros.","Usar roles simples, turnos de contribución y productos que requieran aportes interdependientes.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_prototype_test_iterate,udl_construct_tools,Una sola herramienta/material puede limitar construcción o expresión innecesariamente.,"Ofrecer tarjetas, dibujos, objetos, materiales físicos o herramientas digitales equivalentes según acceso.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_prototype_test_iterate,udl_feedback,Feedback evaluativo o tardío puede no orientar el siguiente paso.,Dar retroalimentación específica sobre el criterio/evidencia y un próximo movimiento accionable.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_prototype_test_iterate,udl_monitor,"Si la meta/evidencia no es visible, es difícil autorregular y revisar.",Mostrar criterio de éxito y pedir comparar antes/después o prueba/cambio para hacer progreso visible.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_model_revision,udl_prior,Conocimiento previo queda invisible y se pierden conexiones/malentendidos importantes.,Comenzar haciendo visible lo que creen/saben y conservarlo para comparar después.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_model_revision,udl_feedback,Feedback evaluativo o tardío puede no orientar el siguiente paso.,Dar retroalimentación específica sobre el criterio/evidencia y un próximo movimiento accionable.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_model_revision,udl_monitor,"Si la meta/evidencia no es visible, es difícil autorregular y revisar.",Mostrar criterio de éxito y pedir comparar antes/después o prueba/cambio para hacer progreso visible.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_exit_check,udl_response,Un único modo de respuesta puede medir una barrera motora/lingüística en vez del constructo objetivo.,"Permitir señalar, manipular, dibujar u oralizar si el modo de respuesta no es el constructo evaluado.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_exit_check,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_exit_check,udl_monitor,"Si la meta/evidencia no es visible, es difícil autorregular y revisar.",Mostrar criterio de éxito y pedir comparar antes/después o prueba/cambio para hacer progreso visible.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
