move_id,target_type,target_id,relationship_type,confidence,source_ids
move_self_explanation,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_self_explanation,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,OAH,oah_cn03_b,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,OAH,oah_cn03_b,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,OAH,oah_cn03_c,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,OAH,oah_cn03_d,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_initial_model,STEAM_PRACTICE,prac_sci_modeling,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_initial_model,STEAM_PRACTICE,prac_sci_communication,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,STEAM_PRACTICE,prac_sci_observation,supports_steam_practice,0.82,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,STEAM_PRACTICE,prac_sci_questioning,supports_steam_practice,0.82,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,STEAM_PRACTICE,prac_art_perceive,supports_steam_practice,0.82,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,STEAM_PRACTICE,prac_sci_questioning,supports_steam_practice,0.82,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,STEAM_PRACTICE,prac_sci_prediction,supports_steam_practice,0.82,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,STEAM_PRACTICE,prac_sci_investigation,supports_steam_practice,0.82,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,STEAM_PRACTICE,prac_sci_explanation,supports_steam_practice,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,STEAM_PRACTICE,prac_sci_argument,supports_steam_practice,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,STEAM_PRACTICE,prac_sci_communication,supports_steam_practice,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,STEAM_PRACTICE,prac_math_argument,supports_steam_practice,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,STEAM_PRACTICE,prac_sci_observation,supports_steam_practice,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,STEAM_PRACTICE,prac_sci_systems,supports_steam_practice,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,STEAM_PRACTICE,prac_sci_modeling,supports_steam_practice,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,STEAM_PRACTICE,prac_art_perceive,supports_steam_practice,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,STEAM_PRACTICE,prac_sci_prediction,supports_steam_practice,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,STEAM_PRACTICE,prac_sci_observation,supports_steam_practice,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,STEAM_PRACTICE,prac_sci_explanation,supports_steam_practice,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,STEAM_PRACTICE,prac_sci_investigation,supports_steam_practice,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,STEAM_PRACTICE,prac_sci_investigation,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,STEAM_PRACTICE,prac_sci_observation,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,STEAM_PRACTICE,prac_sci_data,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,STEAM_PRACTICE,prac_math_tools,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,STEAM_PRACTICE,prac_math_precision,supports_steam_practice,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,STEAM_PRACTICE,prac_sci_modeling,supports_steam_practice,0.82,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,STEAM_PRACTICE,prac_sci_systems,supports_steam_practice,0.82,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,STEAM_PRACTICE,prac_sci_communication,supports_steam_practice,0.82,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,STEAM_PRACTICE,prac_art_convey,supports_steam_practice,0.82,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_worked_example,STEAM_PRACTICE,prac_sci_modeling,supports_steam_practice,0.82,src_sweller_cooper;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_worked_example,STEAM_PRACTICE,prac_math_model,supports_steam_practice,0.82,src_sweller_cooper;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_self_explanation,STEAM_PRACTICE,prac_sci_explanation,supports_steam_practice,0.82,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_self_explanation,STEAM_PRACTICE,prac_sci_argument,supports_steam_practice,0.82,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,STEAM_PRACTICE,prac_sci_argument,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,STEAM_PRACTICE,prac_sci_communication,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,STEAM_PRACTICE,prac_eng_argument,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,STEAM_PRACTICE,prac_art_evaluate,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,STEAM_PRACTICE,prac_art_refine,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,STEAM_PRACTICE,prac_eng_define,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,STEAM_PRACTICE,prac_eng_criteria,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,STEAM_PRACTICE,prac_eng_ideate,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,STEAM_PRACTICE,prac_eng_modelproto,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,STEAM_PRACTICE,prac_sci_systems,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_eng_modelproto,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_eng_test,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_eng_iterate,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_eng_tradeoffs,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_math_tools,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_math_precision,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_cs_test_refine,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,STEAM_PRACTICE,prac_cs_iterative_design,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,STEAM_PRACTICE,prac_sci_modeling,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,STEAM_PRACTICE,prac_sci_explanation,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,STEAM_PRACTICE,prac_sci_argument,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,STEAM_PRACTICE,prac_art_refine,supports_steam_practice,0.82,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,STEAM_PRACTICE,prac_sci_explanation,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,STEAM_PRACTICE,prac_sci_communication,supports_steam_practice,0.82,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_initial_model,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_initial_model,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,COMPETENCY,comp_collaboration,creates_opportunity_for,0.75,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_worked_example,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_sweller_cooper;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_self_explanation,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_self_explanation,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_chi_selfexplanation;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,COMPETENCY,comp_collaboration,creates_opportunity_for,0.75,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_peer_critique,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,COMPETENCY,comp_creativity,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_design_challenge,COMPETENCY,comp_collaboration,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,COMPETENCY,comp_creativity,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,COMPETENCY,comp_problem_solving,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,COMPETENCY,comp_collaboration,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_prototype_test_iterate,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_model_revision,COMPETENCY,comp_creativity,creates_opportunity_for,0.75,src_nrc_framework;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,COMPETENCY,comp_communication,creates_opportunity_for,0.75,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_exit_check,COMPETENCY,comp_critical_thinking,creates_opportunity_for,0.75,src_black_wiliam;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
