relationship_id,layer,source_entity_id,relationship_type,target_entity_id,relationship_scope,evidence_basis,provenance_class,verification_status,confidence,rationale,source_id,secondary_source_ids,properties_json
r_oah_cn03_a_skill_cn_observe,L1,oah_cn03_a,uses_atomic_skill,skill_cn_observe,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_a_skill_cn_question,L1,oah_cn03_a,uses_atomic_skill,skill_cn_question,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_a_skill_cn_infer,L1,oah_cn03_a,uses_atomic_skill,skill_cn_infer,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_a_skill_cn_predict,L1,oah_cn03_a,uses_atomic_skill,skill_cn_predict,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_b_skill_cn_investigate,L1,oah_cn03_b,uses_atomic_skill,skill_cn_investigate,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_b_skill_cn_observe,L1,oah_cn03_b,uses_atomic_skill,skill_cn_observe,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_b_skill_cn_classify,L1,oah_cn03_b,uses_atomic_skill,skill_cn_classify,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_b_skill_cn_explore,L1,oah_cn03_b,uses_atomic_skill,skill_cn_explore,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_c_skill_cn_observe,L1,oah_cn03_c,uses_atomic_skill,skill_cn_observe,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_c_skill_cn_measure,L1,oah_cn03_c,uses_atomic_skill,skill_cn_measure,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_c_skill_cn_record,L1,oah_cn03_c,uses_atomic_skill,skill_cn_record,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_c_skill_cn_organize_data,L1,oah_cn03_c,uses_atomic_skill,skill_cn_organize_data,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_d_skill_cn_use_instruments,L1,oah_cn03_d,uses_atomic_skill,skill_cn_use_instruments,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_d_skill_cn_observe,L1,oah_cn03_d,uses_atomic_skill,skill_cn_observe,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_d_skill_cn_measure,L1,oah_cn03_d,uses_atomic_skill,skill_cn_measure,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_e_skill_cn_summarize_evidence,L1,oah_cn03_e,uses_atomic_skill,skill_cn_summarize_evidence,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_e_skill_cn_analyze,L1,oah_cn03_e,uses_atomic_skill,skill_cn_analyze,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_f_skill_cn_communicate,L1,oah_cn03_f,uses_atomic_skill,skill_cn_communicate,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_f_skill_cn_compare,L1,oah_cn03_f,uses_atomic_skill,skill_cn_compare,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_oah_cn03_f_skill_cn_use_models,L1,oah_cn03_f,uses_atomic_skill,skill_cn_use_models,semantic,decomposition_of_official_oah,expert_interpretation,expert_curated,0.95,Descomposición semántica del texto oficial del OAH.,src_mineduc_cn03,src_daniela_map,{}
r_fw_grade,L1,cl_mineduc_bc_1_6,includes_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_fw_subj,L1,cl_mineduc_bc_1_6,has_subject,subj_cn,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_subj_axis_life,L1,subj_cn,has_axis,axis_cn_life,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_axis_oa03,L1,axis_cn_life,has_learning_objective,oa_cn03_03,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_axis_oa01,L1,axis_cn_life,has_learning_objective,oa_cn03_01,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_axis_oa04,L1,axis_cn_life,has_learning_objective,oa_cn03_04,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_oa03_grade,L1,oa_cn03_03,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Estructura del currículum oficial.,src_mineduc_cn03,,{}
r_oa03_target_concept_cn_flowering_lifecycle,L1,oa_cn03_03,targets_concept,concept_cn_flowering_lifecycle,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_germination,L1,oa_cn03_03,targets_concept,concept_cn_germination,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_plant_growth,L1,oa_cn03_03,targets_concept,concept_cn_plant_growth,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_plant_reproduction,L1,oa_cn03_03,targets_concept,concept_cn_plant_reproduction,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_flower_fruit,L1,oa_cn03_03,targets_concept,concept_cn_flower_fruit,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_pollination,L1,oa_cn03_03,targets_concept,concept_cn_pollination,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_oa03_target_concept_cn_seed_dispersal,L1,oa_cn03_03,targets_concept,concept_cn_seed_dispersal,semantic,expert_decomposition_from_official_oa,expert_interpretation,expert_curated,0.98,El concepto está explícito o directamente contenido en el texto del OA03.,src_cn03_oa_03,src_daniela_map,{}
r_pollination_pollen,L1,concept_cn_pollination,includes_construct,concept_erandi_pollen_transfer,semantic,scientific_semantic_extension,expert_synthesis,needs_expert_review,0.9,Descomposición científica para razonar sobre el mecanismo de polinización.,src_nrc_framework,,{}
r_bees_pollination,L1,theme_bees,relates_to,concept_cn_pollination,semantic,erandi_theme_mapping,expert_synthesis,expert_curated,0.98,Abejas como fenómeno de entrada para explorar polinización.,src_cn03_oa_03,,{}
r_bees_pollinator,L1,theme_bees,instantiates,concept_erandi_pollinator,semantic,expert_semantic_mapping,expert_synthesis,expert_curated,0.95,La abeja funciona como ejemplo de polinizador en el proyecto.,src_nrc_framework,,{}
r_expert_prog_1,L1,concept_cn_plant_structures,builds_towards,concept_cn_plant_needs,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,Comprender estructuras facilita razonar sobre necesidades y funciones.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_2,L1,concept_cn_life_cycles,builds_towards,concept_cn_flowering_lifecycle,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,La idea general de ciclo de vida apoya la comprensión del ciclo de plantas con flor.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_3,L1,concept_cn_flowering_lifecycle,builds_towards,concept_cn_plant_reproduction,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,El ciclo con flor sitúa la reproducción dentro de una secuencia temporal.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_4,L1,concept_cn_flower_fruit,relates_to,concept_cn_pollination,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,La polinización se vincula con procesos reproductivos de las plantas con flor.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_5,L1,concept_cn_pollination,builds_towards,concept_cn_plant_reproduction,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,Comprender la polinización ayuda a explicar reproducción en plantas con flor.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_6,L1,concept_cn_pollination,relates_to,concept_cn_plant_importance,progression,expert_inference_from_curriculum_and_science,expert_synthesis,needs_expert_review,0.78,La polinización permite conectar reproducción vegetal con importancia ecológica.,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""display_in_graph"":true}"
r_fw_grade_cl_1b,L1,cl_mineduc_bc_1_6,includes_grade,grade_cl_1b,structural,official_structure,official_curriculum,verified,1.0,"Curso del marco curricular, incluido como contexto de progresión.",src_mineduc_bases_1_6,,{}
r_fw_grade_cl_2b,L1,cl_mineduc_bc_1_6,includes_grade,grade_cl_2b,structural,official_structure,official_curriculum,verified,1.0,"Curso del marco curricular, incluido como contexto de progresión.",src_mineduc_bases_1_6,,{}
r_fw_grade_cl_4b,L1,cl_mineduc_bc_1_6,includes_grade,grade_cl_4b,structural,official_structure,official_curriculum,verified,1.0,"Curso del marco curricular, incluido como contexto de progresión.",src_mineduc_bases_1_6,,{}
r_fw_grade_cl_6b,L1,cl_mineduc_bc_1_6,includes_grade,grade_cl_6b,structural,official_structure,official_curriculum,verified,1.0,"Curso del marco curricular, incluido como contexto de progresión.",src_mineduc_bases_1_6,,{}
r_expert_prog_100,L1,concept_cn_pollination,builds_towards,concept_cn_ecosystems,progression,expert_inference_from_daniela_grade_map,expert_synthesis,needs_expert_review,0.72,La polinización ofrece una entrada posterior a interdependencia entre organismos y ambiente.,src_daniela_map,,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_101,L1,concept_cn_plant_needs,builds_towards,concept_cn_photosynthesis,progression,expert_inference_from_daniela_grade_map,expert_synthesis,needs_expert_review,0.72,Necesidades de plantas apoyan posteriormente el estudio de procesos de nutrición/fotosíntesis.,src_daniela_map,,"{""official_relation"":false,""display_in_graph"":true}"
r_expert_prog_102,L1,concept_cn_ecosystems,builds_towards,concept_cn_food_webs,progression,expert_inference_from_daniela_grade_map,expert_synthesis,needs_expert_review,0.72,Ecosistemas apoyan análisis posterior de redes de relaciones alimentarias.,src_daniela_map,,"{""official_relation"":false,""display_in_graph"":true}"
r_subj_has_oaa_cn03_a,L1,subj_cn,has_attitude,oaa_cn03_a,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_a_grade,L1,oaa_cn03_a,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
r_subj_has_oaa_cn03_b,L1,subj_cn,has_attitude,oaa_cn03_b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_b_grade,L1,oaa_cn03_b,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
r_subj_has_oaa_cn03_c,L1,subj_cn,has_attitude,oaa_cn03_c,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_c_grade,L1,oaa_cn03_c,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
r_subj_has_oaa_cn03_d,L1,subj_cn,has_attitude,oaa_cn03_d,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_d_grade,L1,oaa_cn03_d,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
r_subj_has_oaa_cn03_e,L1,subj_cn,has_attitude,oaa_cn03_e,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_e_grade,L1,oaa_cn03_e,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
r_subj_has_oaa_cn03_f,L1,subj_cn,has_attitude,oaa_cn03_f,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial de Ciencias Naturales 3° Básico.,src_mineduc_cn03,,{}
r_oaa_cn03_f_grade,L1,oaa_cn03_f,applies_to_grade,grade_cl_3b,structural,official_structure,official_curriculum,verified,1.0,Actitud oficial aplicable a 3° Básico.,src_mineduc_cn03,,{}
