progression_id,practice_id,domain_code,level_order,level_name,description,provenance_class,official_progression,verification_status,source_id,notes
prog_prac_sci_data_L4,prac_sci_data,SCI,4,Interpretar para responder,Usa los patrones como evidencia para responder una pregunta o evaluar una explicación.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_mathcomp_L1,prac_sci_mathcomp,SCI,1,Participar con apoyo,"Participa en la práctica «Uso de matemática y pensamiento computacional en ciencia» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_mathcomp_L2,prac_sci_mathcomp,SCI,2,Aplicar con propósito,"Aplica «Uso de matemática y pensamiento computacional en ciencia» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_mathcomp_L3,prac_sci_mathcomp,SCI,3,"Seleccionar, justificar y revisar","Usa «Uso de matemática y pensamiento computacional en ciencia» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_explanation_L1,prac_sci_explanation,SCI,1,Describir lo ocurrido,Expresa qué ocurrió o qué relación observa.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_explanation_L2,prac_sci_explanation,SCI,2,Conectar idea y evidencia,Relaciona una idea explicativa simple con observaciones o datos relevantes.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_explanation_L3,prac_sci_explanation,SCI,3,Explicar causalmente,Articula cómo o por qué componentes/relaciones producen el fenómeno.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_explanation_L4,prac_sci_explanation,SCI,4,Revisar explicación,Modifica la explicación al considerar nueva evidencia o una explicación alternativa.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_argument_L1,prac_sci_argument,SCI,1,Expresar una afirmación,Propone una conclusión o interpretación.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_argument_L2,prac_sci_argument,SCI,2,Apoyar con evidencia,Selecciona evidencia pertinente para apoyar la afirmación.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_argument_L3,prac_sci_argument,SCI,3,Comparar argumentos,Considera evidencia/razones de otras explicaciones y responde a ellas.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_argument_L4,prac_sci_argument,SCI,4,Revisar y justificar,Ajusta su afirmación o justificación cuando la evidencia lo requiere.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_communication_L1,prac_sci_communication,SCI,1,Representar una idea,"Comunica observaciones o ideas mediante lenguaje, dibujo, material concreto o modelo.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_communication_L2,prac_sci_communication,SCI,2,Seleccionar evidencia,Incluye información/evidencia relevante al propósito.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_communication_L3,prac_sci_communication,SCI,3,Adecuar a audiencia y propósito,Elige representaciones y nivel de detalle apropiados.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_communication_L4,prac_sci_communication,SCI,4,Integrar y responder,"Compara ideas, responde preguntas y revisa la comunicación para mejorar claridad/precisión.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_systems_L1,prac_sci_systems,SCI,1,Identificar componentes,Reconoce partes relevantes de un sistema.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_systems_L2,prac_sci_systems,SCI,2,Conectar componentes,Representa relaciones entre componentes.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_systems_L3,prac_sci_systems,SCI,3,Rastrear efectos,Predice cómo un cambio en una parte puede afectar otras.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_systems_L4,prac_sci_systems,SCI,4,Razonar sobre límites y retroalimentaciones,"Considera múltiples relaciones, límites del modelo y efectos indirectos.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_define_L1,prac_eng_define,ENG,1,Reconocer una necesidad,Identifica una situación que podría mejorarse o resolverse.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_define_L2,prac_eng_define,ENG,2,Enunciar el problema,Describe para quién es el problema y qué necesita lograrse.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_define_L3,prac_eng_define,ENG,3,Delimitar,Distingue el problema central de aspectos secundarios y explicita información necesaria.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_define_L4,prac_eng_define,ENG,4,Reformular con evidencia,Ajusta la definición del problema después de investigar usuarios/contexto.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_criteria_L1,prac_eng_criteria,ENG,1,Reconocer éxito y límites,Identifica qué debería lograr la solución y una limitación relevante.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_criteria_L2,prac_eng_criteria,ENG,2,Explicitar criterios/restricciones,Formula criterios de éxito y restricciones observables.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_criteria_L3,prac_eng_criteria,ENG,3,Priorizar y medir,Decide cuáles criterios importan más y cómo se comprobarán.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_criteria_L4,prac_eng_criteria,ENG,4,Revisar criterios,Ajusta criterios/restricciones según evidencia y contexto.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_ideate_L1,prac_eng_ideate,ENG,1,Generar una idea,Propone al menos una solución posible.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_ideate_L2,prac_eng_ideate,ENG,2,Generar alternativas,Produce varias opciones diferentes antes de elegir.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_ideate_L3,prac_eng_ideate,ENG,3,Combinar y comparar,Usa criterios para combinar fortalezas o seleccionar una alternativa.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_ideate_L4,prac_eng_ideate,ENG,4,Idear estratégicamente,Genera alternativas dirigidas a superar fallas o trade-offs observados.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_modelproto_L1,prac_eng_modelproto,ENG,1,Representar una solución,"Produce un dibujo, modelo o construcción parcial de una idea.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_modelproto_L2,prac_eng_modelproto,ENG,2,Hacer visible el funcionamiento,El prototipo representa componentes y relaciones relevantes al criterio de diseño.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_modelproto_L3,prac_eng_modelproto,ENG,3,Prototipar para probar,Construye deliberadamente una versión que permita recolectar evidencia sobre una hipótesis de diseño.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_modelproto_L4,prac_eng_modelproto,ENG,4,Elegir fidelidad estratégicamente,Selecciona qué aspectos prototipar con mayor detalle según la pregunta de prueba.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_test_L1,prac_eng_test,ENG,1,Probar funcionamiento,Observa qué ocurre cuando se usa o prueba la solución.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_test_L2,prac_eng_test,ENG,2,Probar contra un criterio,Recolecta evidencia vinculada explícitamente a un criterio.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_test_L3,prac_eng_test,ENG,3,Comparar alternativas,Aplica un procedimiento comparable a más de una solución o versión.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_test_L4,prac_eng_test,ENG,4,Evaluar validez de la prueba,Identifica si la prueba realmente permite juzgar el criterio y propone mejoras.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_iterate_L1,prac_eng_iterate,ENG,1,Cambiar después de probar,Modifica una solución después de observar un problema.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_iterate_L2,prac_eng_iterate,ENG,2,Usar evidencia para cambiar,Explica qué evidencia motivó una modificación específica.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_iterate_L3,prac_eng_iterate,ENG,3,Priorizar cambios,"Decide qué modificar primero según criterios, restricciones y resultados.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_iterate_L4,prac_eng_iterate,ENG,4,Optimizar,Realiza ciclos de prueba y revisión gestionando múltiples criterios/trade-offs.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_tradeoffs_L1,prac_eng_tradeoffs,ENG,1,Reconocer ventajas y limitaciones,Identifica algo que una solución hace bien y algo que limita.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_tradeoffs_L2,prac_eng_tradeoffs,ENG,2,Comparar contra varios criterios,Observa que una alternativa puede ser mejor en un criterio y peor en otro.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_tradeoffs_L3,prac_eng_tradeoffs,ENG,3,Justificar una elección,Explica por qué acepta ciertos compromisos según prioridades.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_tradeoffs_L4,prac_eng_tradeoffs,ENG,4,Gestionar trade-offs explícitamente,Usa evidencia y prioridades para optimizar entre criterios en tensión.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_argument_L1,prac_eng_argument,ENG,1,Expresar decisión,Indica qué solución o cambio prefiere.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_argument_L2,prac_eng_argument,ENG,2,Justificar con criterios/evidencia,Relaciona su decisión con resultados de prueba o criterios.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_argument_L3,prac_eng_argument,ENG,3,Comparar alternativas,Contrasta evidencia de distintas soluciones.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_argument_L4,prac_eng_argument,ENG,4,Defender/revisar decisión,Responde a objeciones y cambia su decisión cuando la evidencia lo amerita.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_communicate_L1,prac_eng_communicate,ENG,1,Mostrar la solución,Representa qué construyó y qué intenta lograr.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_communicate_L2,prac_eng_communicate,ENG,2,Explicar decisiones,"Comunica criterios, restricciones y decisiones centrales.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_communicate_L3,prac_eng_communicate,ENG,3,Comunicar evidencia,Integra resultados de pruebas para justificar cambios.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_communicate_L4,prac_eng_communicate,ENG,4,Comunicar proceso y limitaciones,"Explica iteraciones, trade-offs, evidencia y límites de la solución.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_systems_L1,prac_eng_systems,ENG,1,Identificar elementos,"Reconoce usuario, solución y componentes básicos del contexto.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_systems_L2,prac_eng_systems,ENG,2,Conectar impactos,"Describe interacciones entre solución, usuario, materiales y ambiente.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_systems_L3,prac_eng_systems,ENG,3,Anticipar consecuencias,Predice efectos directos e indirectos de decisiones de diseño.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_eng_systems_L4,prac_eng_systems,ENG,4,Rediseñar considerando el sistema,Modifica una solución considerando múltiples actores/efectos y tensiones.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_make_sense_L1,prac_math_make_sense,MAT,1,Participar con apoyo,"Participa en la práctica «Dar sentido a problemas y perseverar» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_make_sense_L2,prac_math_make_sense,MAT,2,Aplicar con propósito,"Aplica «Dar sentido a problemas y perseverar» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_make_sense_L3,prac_math_make_sense,MAT,3,"Seleccionar, justificar y revisar","Usa «Dar sentido a problemas y perseverar» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_reason_abstract_L1,prac_math_reason_abstract,MAT,1,Participar con apoyo,"Participa en la práctica «Razonar de manera abstracta y cuantitativa» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_reason_abstract_L2,prac_math_reason_abstract,MAT,2,Aplicar con propósito,"Aplica «Razonar de manera abstracta y cuantitativa» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_reason_abstract_L3,prac_math_reason_abstract,MAT,3,"Seleccionar, justificar y revisar","Usa «Razonar de manera abstracta y cuantitativa» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_argument_L1,prac_math_argument,MAT,1,Participar con apoyo,"Participa en la práctica «Construir argumentos y criticar razonamientos» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_argument_L2,prac_math_argument,MAT,2,Aplicar con propósito,"Aplica «Construir argumentos y criticar razonamientos» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_argument_L3,prac_math_argument,MAT,3,"Seleccionar, justificar y revisar","Usa «Construir argumentos y criticar razonamientos» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_model_L1,prac_math_model,MAT,1,Participar con apoyo,"Participa en la práctica «Modelar con matemática» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_model_L2,prac_math_model,MAT,2,Aplicar con propósito,"Aplica «Modelar con matemática» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_model_L3,prac_math_model,MAT,3,"Seleccionar, justificar y revisar","Usa «Modelar con matemática» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_tools_L1,prac_math_tools,MAT,1,Participar con apoyo,"Participa en la práctica «Usar herramientas estratégicamente» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_tools_L2,prac_math_tools,MAT,2,Aplicar con propósito,"Aplica «Usar herramientas estratégicamente» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_tools_L3,prac_math_tools,MAT,3,"Seleccionar, justificar y revisar","Usa «Usar herramientas estratégicamente» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_precision_L1,prac_math_precision,MAT,1,Participar con apoyo,"Participa en la práctica «Atender a la precisión» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_precision_L2,prac_math_precision,MAT,2,Aplicar con propósito,"Aplica «Atender a la precisión» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_precision_L3,prac_math_precision,MAT,3,"Seleccionar, justificar y revisar","Usa «Atender a la precisión» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_structure_L1,prac_math_structure,MAT,1,Participar con apoyo,"Participa en la práctica «Buscar y usar estructura» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_structure_L2,prac_math_structure,MAT,2,Aplicar con propósito,"Aplica «Buscar y usar estructura» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_structure_L3,prac_math_structure,MAT,3,"Seleccionar, justificar y revisar","Usa «Buscar y usar estructura» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_regularity_L1,prac_math_regularity,MAT,1,Participar con apoyo,"Participa en la práctica «Buscar regularidad en razonamientos repetidos» con apoyos explícitos, ejemplos o una estructura provista.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_regularity_L2,prac_math_regularity,MAT,2,Aplicar con propósito,"Aplica «Buscar regularidad en razonamientos repetidos» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_math_regularity_L3,prac_math_regularity,MAT,3,"Seleccionar, justificar y revisar","Usa «Buscar regularidad en razonamientos repetidos» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",expert_synthesis,false,needs_expert_review,src_ccss_math,"Mapa de sofisticación, no nivel fijo del estudiante."
