artifact_id,move_id,artifact_type,name,suggested_template_outline,developmental_band,udl_ready,source_id,verification_status
artifact_011,move_csq,worksheet,Organizador breve de razonamiento,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_csq,prototype
artifact_012,move_csq,observation_prompt,Criterios para distinguir evidencia de afirmación,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_csq,prototype
artifact_013,move_ppc,presentation,Objeto/sistema ampliado,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_ppc,prototype
artifact_014,move_ppc,student_cards,Tarjetas de partes/funciones/relaciones,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_ppc,prototype
artifact_015,move_ppc,teacher_guide,Preguntas de sistema,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_ppc,prototype
artifact_016,move_poe,worksheet,Registro predicción–observación–explicación,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_poe_white_gunstone,prototype
artifact_017,move_poe,presentation,Secuencia de fenómeno/prueba,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_poe_white_gunstone,prototype
artifact_018,move_poe,teacher_guide,Guía para explotar discrepancias,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_poe_white_gunstone,prototype
artifact_019,move_guided_investigation,worksheet,Guía de investigación y tabla de datos,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_020,move_guided_investigation,presentation,Pasos y objetivo de evidencia,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_021,move_guided_investigation,teacher_guide,"Roles, seguridad y decisiones que quedan abiertas",objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_022,move_concept_map,student_cards,Tarjetas de conceptos movibles,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_novak_canas,prototype
artifact_023,move_concept_map,worksheet,Lienzo de mapa conceptual,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_novak_canas,prototype
artifact_024,move_concept_map,presentation,Ejemplo de relación con palabra de enlace,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_novak_canas,prototype
artifact_025,move_worked_example,presentation,Ejemplo modelado paso a paso,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_sweller_cooper,prototype
artifact_026,move_worked_example,teacher_guide,Qué hacer visible y cuándo retirar apoyo,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_sweller_cooper,prototype
artifact_027,move_self_explanation,student_cards,Prompts breves de autoexplicación,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_chi_selfexplanation,prototype
artifact_028,move_self_explanation,teacher_guide,Preguntas focales por relación,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_chi_selfexplanation,prototype
artifact_029,move_peer_critique,student_cards,Criterios + protocolo de feedback,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
artifact_030,move_peer_critique,rubric,Mini rúbrica de 1–2 criterios,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
artifact_031,move_peer_critique,presentation,Modelo de feedback centrado en el trabajo,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
artifact_032,move_design_challenge,worksheet,"Brief de diseño: usuario, problema, criterios, restricciones",objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_033,move_design_challenge,student_cards,Tarjetas de materiales/restricciones,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_034,move_design_challenge,presentation,Lanzamiento del desafío,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_035,move_prototype_test_iterate,worksheet,Registro prueba–resultado–cambio,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_036,move_prototype_test_iterate,rubric,Matriz simple de criterios,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_037,move_prototype_test_iterate,teacher_guide,Guía de prueba válida e iteración,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_038,move_model_revision,worksheet,Modelo antes/después + evidencia del cambio,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_039,move_model_revision,presentation,Recordatorio de evidencia acumulada,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_040,move_model_revision,teacher_guide,Preguntas para justificar revisión,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nrc_framework,prototype
artifact_041,move_exit_check,exit_ticket,Ticket breve alineado a una intención de evidencia,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
artifact_042,move_exit_check,digital_response,Versión QR/digital opcional,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
artifact_043,move_exit_check,teacher_guide,Regla de decisión Most/Some/Few/Insuficiente,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_black_wiliam,prototype
