entity_id,layer,local_type,normalized_type,code,name,description,domain_code,subject_code,grade_code,axis_code,origin,provenance_class,verification_status,source_id,secondary_source_ids,properties_json
oah_cn03_e,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH e,Resumir evidencias,Resumir las evidencias obtenidas a partir de observaciones para responder la pregunta inicial.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oah_cn03_f,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH f,Comunicar y comparar ideas y evidencia,"Comunicar y comparar ideas, observaciones, mediciones y experiencias utilizando diagramas, material concreto, modelos, informes sencillos, presentaciones y TIC, entre otros.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_a,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA A,Curiosidad e interés por el entorno natural,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_b,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA B,Trabajo riguroso y perseverante,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_c,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA C,Cuidado y protección del ambiente,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_d,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA D,Responsabilidad y colaboración,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_e,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA E,Estilo de vida saludable y autocuidado,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oaa_cn03_f,L1,Objetivo de Aprendizaje de Actitud,attitude_objective,CN03 OAA F,Seguridad personal y colectiva,Objetivo de actitud oficial de Ciencias Naturales 3° Básico.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
skill_cn_observe,L1,Habilidad atómica,atomic_skill,,Observar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_question,L1,Habilidad atómica,atomic_skill,,Formular preguntas,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_infer,L1,Habilidad atómica,atomic_skill,,Inferir,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_predict,L1,Habilidad atómica,atomic_skill,,Predecir,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_investigate,L1,Habilidad atómica,atomic_skill,,Investigar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_explore,L1,Habilidad atómica,atomic_skill,,Explorar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_classify,L1,Habilidad atómica,atomic_skill,,Clasificar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_measure,L1,Habilidad atómica,atomic_skill,,Medir,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_record,L1,Habilidad atómica,atomic_skill,,Registrar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_organize_data,L1,Habilidad atómica,atomic_skill,,Organizar datos,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_use_instruments,L1,Habilidad atómica,atomic_skill,,Usar instrumentos,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_plan,L1,Habilidad atómica,atomic_skill,,Planificar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_analyze,L1,Habilidad atómica,atomic_skill,,Analizar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_compare,L1,Habilidad atómica,atomic_skill,,Comparar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_summarize_evidence,L1,Habilidad atómica,atomic_skill,,Resumir evidencias,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_communicate,L1,Habilidad atómica,atomic_skill,,Comunicar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_evaluate,L1,Habilidad atómica,atomic_skill,,Evaluar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_experiment,L1,Habilidad atómica,atomic_skill,,Experimentar,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
skill_cn_use_models,L1,Habilidad atómica,atomic_skill,,Usar modelos,Vocabulario normalizado de habilidad científica para conectar OAH y prácticas STEAM.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn03;src_mineduc_cn_skills,{}
concept_cn_plant_structures,L1,Concepto canónico,canonical_concept,,Estructuras de las plantas,Partes/estructuras observables de plantas.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_plant_needs,L1,Concepto canónico,canonical_concept,,Necesidades de las plantas,Condiciones y recursos necesarios para el desarrollo de las plantas.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_life_cycles,L1,Concepto canónico,canonical_concept,,Ciclos de vida,Cambios y etapas a lo largo de la vida de seres vivos.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_flowering_lifecycle,L1,Concepto canónico,canonical_concept,,Ciclo de vida de plantas con flor,Secuencia de cambios en plantas con flor.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_germination,L1,Concepto canónico,canonical_concept,,Germinación,Inicio del desarrollo desde la semilla.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_plant_growth,L1,Concepto canónico,canonical_concept,,Crecimiento vegetal,Cambios asociados al crecimiento de las plantas.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_plant_reproduction,L1,Concepto canónico,canonical_concept,,Reproducción de plantas,Procesos relacionados con la formación de nuevas plantas.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_flower_fruit,L1,Concepto canónico,canonical_concept,,Formación de flor y fruto,"Relación entre floración, reproducción y formación de fruto.",,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_pollination,L1,Concepto canónico,canonical_concept,,Polinización,Transferencia de polen asociada a la reproducción de plantas con flor.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_seed_dispersal,L1,Concepto canónico,canonical_concept,,Dispersión de semillas,Mecanismos por los que semillas se desplazan desde la planta de origen.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_cn03_oa_03,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_cn_plant_importance,L1,Concepto canónico,canonical_concept,,Importancia de las plantas,Funciones e importancia de las plantas para seres vivos y ambiente.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_erandi_pollen_transfer,L1,Concepto canónico,canonical_concept,,Transferencia de polen,Constructo semántico experto útil para explicar el mecanismo de polinización.,,CN,,CN-LIFE,expert_curated,expert_interpretation,needs_expert_review,src_nrc_framework,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
concept_erandi_pollinator,L1,Concepto canónico,canonical_concept,,Polinizador,Organismo que puede contribuir a transferir polen entre flores.,,CN,,CN-LIFE,expert_curated,expert_interpretation,needs_expert_review,src_nrc_framework,,"{""official_relation"":false,""note"":""Concepto normalizado/curado; no se presenta como nodo normativo salvo que el OA lo nombre explícitamente.""}"
theme_bees,L1,Tema/Fenómeno,theme_phenomenon,,Abejas y polinización,Fenómeno de entrada curado por Erandi para explorar polinización y relaciones planta-polinizador; no es un requerimiento curricular.,,,,,erandi,expert_synthesis,experimental,src_cn03_oa_03,,"{""official_curriculum"":false}"
grade_cl_1b,L1,Curso de contexto,grade_level,1B,1° Básico,Curso incluido solo para visualizar progresión conceptual alrededor del foco de 3° Básico.,,,1B,,official,official_curriculum,verified,src_mineduc_bases_1_6,,"{""scope_role"":""progression_context""}"
grade_cl_2b,L1,Curso de contexto,grade_level,2B,2° Básico,Curso incluido solo para visualizar progresión conceptual alrededor del foco de 3° Básico.,,,2B,,official,official_curriculum,verified,src_mineduc_bases_1_6,,"{""scope_role"":""progression_context""}"
grade_cl_4b,L1,Curso de contexto,grade_level,4B,4° Básico,Curso incluido solo para visualizar progresión conceptual alrededor del foco de 3° Básico.,,,4B,,official,official_curriculum,verified,src_mineduc_bases_1_6,,"{""scope_role"":""progression_context""}"
grade_cl_6b,L1,Curso de contexto,grade_level,6B,6° Básico,Curso incluido solo para visualizar progresión conceptual alrededor del foco de 3° Básico.,,,6B,,official,official_curriculum,verified,src_mineduc_bases_1_6,,"{""scope_role"":""progression_context""}"
concept_cn_ecosystems,L1,Concepto canónico de contexto,canonical_concept,,Ecosistemas,Relaciones entre seres vivos y ambiente; contexto posterior para ampliar interdependencia.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""scope_role"":""progression_context"",""official_relation"":false}"
concept_cn_photosynthesis,L1,Concepto canónico de contexto,canonical_concept,,Fotosíntesis,Proceso mediante el cual plantas producen materia orgánica usando energía luminosa; contexto posterior.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""scope_role"":""progression_context"",""official_relation"":false}"
concept_cn_food_webs,L1,Concepto canónico de contexto,canonical_concept,,Redes alimentarias,Relaciones alimentarias múltiples; contexto posterior de sistemas e interdependencia.,,CN,,CN-LIFE,expert_curated,expert_interpretation,expert_curated,src_daniela_map,,"{""scope_role"":""progression_context"",""official_relation"":false}"
